id,first_name,last_name,email,birth_date,country,gpa,major
1,Lisle,Scamal,lscamal0@gravatar.com,8/6/1957,China,3.36,1
2,Birdie,Folcarelli,bfolcarelli1@wikispaces.com,12/23/1933,China,3.29,2
3,Weston,Corck,wcorck2@theatlantic.com,9/6/1931,China,3.51,9
4,Nicolis,Barnsdale,nbarnsdale3@ihg.com,1/3/1933,China,2.37,9
5,Valida,Chadwen,vchadwen4@prlog.org,5/26/1982,Brazil,3.52,1
6,Judon,Castagnet,jcastagnet5@delicious.com,1/29/1988,Russia,1.86,7
7,Gibb,Ellis,gellis6@state.tx.us,5/5/1968,Philippines,2.85,1
8,Justinn,Uc,juc7@cisco.com,8/27/1928,Indonesia,1.56,7
9,Winn,Halsworth,whalsworth8@reference.com,9/2/1981,Yemen,1.57,2
10,Fidel,McCheyne,fmccheyne9@mlb.com,1/17/1926,Ukraine,1.64,3
11,Wrennie,Belin,wbelina@cnn.com,4/10/1975,China,1.67,2
12,Tobit,Burnyeat,tburnyeatb@woothemes.com,2/3/1960,Philippines,2.4,4
13,Rudie,Drayson,rdraysonc@answers.com,11/9/1920,Czech Republic,3.49,11
14,Paulo,Diano,pdianod@de.vu,1/6/1960,Peru,3.11,5
15,Alis,Hamlett,ahamlette@wp.com,12/30/1942,Portugal,1.73,5
16,Gilbert,Drewell,gdrewellf@clickbank.net,2/22/1952,Honduras,2.14,1
17,Hyacinthie,Guerri,hguerrig@ifeng.com,10/4/1963,China,2.06,12
18,Thane,Cheyne,tcheyneh@usda.gov,6/27/1945,Nicaragua,2.64,10
19,Kathie,Kilbourn,kkilbourni@hostgator.com,11/1/1965,Kyrgyzstan,3.15,7
20,Ajay,Beamson,abeamsonj@usgs.gov,1/11/1948,Portugal,2.49,5
21,Worden,Stearn,wstearnk@chron.com,2/11/1937,Poland,2.77,9
22,Morgana,Oxburgh,moxburghl@who.int,1/11/1937,China,2.0,6
23,Dew,Handyside,dhandysidem@harvard.edu,12/20/1954,Greece,2.3,1
24,Rinaldo,Sherewood,rsherewoodn@pinterest.com,5/22/1942,Brazil,4.0,4
25,Armand,Normadell,anormadello@merriam-webster.com,8/1/1960,Brazil,3.65,11
26,Freedman,Edmonson,fedmonsonp@go.com,11/26/1933,Brazil,3.93,9
27,Thor,Palister,tpalisterq@cisco.com,12/9/1986,Brazil,3.07,7
